Row ID,Old URL,New URL,Proposed retained path,Action,Redirect code,Canonical target,Priority,Reason,Link-equity evidence,Content-equivalence evidence,QA status,Owner,Approval status
URL-002,https://temporary123.com/,,/,Preserve path pending review,,,A,Protect high-value candidate; verify source links and business relevance,541 referring domains; Top DR 91; 695 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-003,https://www.temporary123.com/,,/,Preserve path pending review,,,B,Protect high-value candidate; verify source links and business relevance,292 referring domains; Top DR 91; 420 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-004,https://temporary123.com/houston-texas-mobile-kitchen-rental/,,/houston-texas-mobile-kitchen-rental/,Preserve path pending review,,,A,Protect high-value candidate; verify source links and business relevance,8 referring domains; Top DR 74; 12 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-005,https://www.temporary123.com/houston-texas-mobile-kitchen-rental/,,/houston-texas-mobile-kitchen-rental/,Preserve path pending review,,,B,Protect high-value candidate; verify source links and business relevance,7 referring domains; Top DR 74; 10 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-006,http://temporary123.com/,,/,Preserve path pending review,,,B,Protect high-value candidate; verify source links and business relevance,6 referring domains; Top DR 91; 6 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-007,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,Preserve path pending review,,,B,Protect high-value candidate; verify source links and business relevance,6 referring domains; Top DR 74; 18 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-008,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,Preserve path pending review,,,A,Protect high-value candidate; verify source links and business relevance,5 referring domains; Top DR 74; 5 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-009,https://temporary123.com/temporary-workforce-housing-facilities/,,/temporary-workforce-housing-facilities/,Escalate for manual review,,,C,Manual quality review before any migration decision,4 referring domains; Top DR 59; 5301 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-010,https://www.temporary123.com/temporary-workforce-housing-facilities/,,/temporary-workforce-housing-facilities/,Escalate for manual review,,,C,Manual quality review before any migration decision,4 referring domains; Top DR 59; 23073 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-011,http://www.temporary123.com/,,/,Preserve path pending review,,,B,Protect high-value candidate; verify source links and business relevance,3 referring domains; Top DR 90; 77 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-012,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alabama/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alabama/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-013,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alaska/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alaska/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-014,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alberta-ca/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alberta-ca/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-015,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arizona/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arizona/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-016,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-017,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-colorado/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-colorado/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-018,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-connecticut/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-connecticut/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-019,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-020,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-021,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-florida/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-florida/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-022,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-georgia/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-georgia/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-023,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-hawaii/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-hawaii/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-024,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-idaho/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-idaho/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-025,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-illinois/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-illinois/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-026,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-indiana/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-indiana/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
URL-027,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-iowa/,,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-iowa/,Escalate for manual review,,,C,Manual quality review before any migration decision,2 referring domains; Top DR 10; 13 links (export snapshot),Not established,Not activated,Business owner + SEO lead,Pending
