Row ID,Original URL,Normalized URL,Host variant,Scheme,Path,Page type,Topic/service,State/city inferred from slug,Export HTTP status,Live HTTP status,Canonical status,Page title,Referring domains,Top DR,UR,Total links,Dofollow,Nofollow,New links,Lost links,Redirect count (export metric),First seen,Last seen,Variant group size,Estimated business importance,Priority,Migration risk,Recommended action,Destination URL,Reason,Review flags,Missing data,Review status
URL-002,https://temporary123.com/,https://temporary123.com/,temporary123.com,https,/,Home,Other,Unknown,403,Not verified,Unknown,,541,91,4.5,695,169,526,195,177,0,2023-10-22 19:01:05,2026-09-10 19:27:04,4,High candidate,A,High,Preserve path pending review,Unassigned — production origin/content unapproved,Protect high-value candidate; verify source links and business relevance,Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-003,https://www.temporary123.com/,https://temporary123.com/,www.temporary123.com,https,/,Home,Other,Unknown,301,Not verified,Unknown,,292,91,4.6,420,151,269,162,106,4,2023-05-16 15:08:35,2026-09-10 17:53:54,4,High candidate,B,High,Preserve path pending review,Unassigned — production origin/content unapproved,Protect high-value candidate; verify source links and business relevance,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-004,https://temporary123.com/houston-texas-mobile-kitchen-rental/,https://temporary123.com/houston-texas-mobile-kitchen-rental/,temporary123.com,https,/houston-texas-mobile-kitchen-rental/,Service/location candidate,Mobile kitchens,"Houston, Texas",403,Not verified,Unknown,,8,74,0,12,5,7,11,0,0,2026-07-30 03:50:01,2026-09-10 03:18:17,2,High candidate,A,High,Preserve path pending review,Unassigned — production origin/content unapproved,Protect high-value candidate; verify source links and business relevance,Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-005,https://www.temporary123.com/houston-texas-mobile-kitchen-rental/,https://temporary123.com/houston-texas-mobile-kitchen-rental/,www.temporary123.com,https,/houston-texas-mobile-kitchen-rental/,Service/location candidate,Mobile kitchens,"Houston, Texas",301,Not verified,Unknown,,7,74,4.4,10,3,7,9,0,0,2026-07-30 03:50:01,2026-09-10 03:18:17,2,High candidate,B,High,Preserve path pending review,Unassigned — production origin/content unapproved,Protect high-value candidate; verify source links and business relevance,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-006,http://temporary123.com/,https://temporary123.com/,temporary123.com,http,/,Home,Other,Unknown,301,Not verified,Unknown,,6,91,4.6,6,6,0,3,0,0,2026-06-08 12:52:17,2026-09-10 08:36:31,4,High candidate,B,High,Preserve path pending review,Unassigned — production origin/content unapproved,Protect high-value candidate; verify source links and business relevance,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-007,https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,www.temporary123.com,https,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,Service/location candidate,Restroom trailers,California,301,Not verified,Unknown,,6,74,4.4,18,14,4,0,10,0,2023-10-16 17:43:18,2026-09-10 17:20:45,2,High candidate,B,High,Preserve path pending review,Unassigned — production origin/content unapproved,Protect high-value candidate; verify source links and business relevance,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-008,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,temporary123.com,https,/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,Service/location candidate,Restroom trailers,California,200,Not verified,Unknown,"Portable Restroom Trailers in California, USA – Temporary 123",5,74,0,5,2,3,1,1,0,2026-04-09 09:46:45,2026-09-10 17:20:45,2,High candidate,A,High,Preserve path pending review,Unassigned — production origin/content unapproved,Protect high-value candidate; verify source links and business relevance,,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-009,https://temporary123.com/temporary-workforce-housing-facilities/,https://temporary123.com/temporary-workforce-housing-facilities/,temporary123.com,https,/temporary-workforce-housing-facilities/,Service/location candidate,Workforce housing,Unknown,403,Not verified,Unknown,,4,59,4.4,5301,5301,0,1,695,0,2026-04-09 03:34:29,2026-08-31 17:29:43,2,Unverified,C,High,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Possible sitewide pattern; source review required; Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-010,https://www.temporary123.com/temporary-workforce-housing-facilities/,https://temporary123.com/temporary-workforce-housing-facilities/,www.temporary123.com,https,/temporary-workforce-housing-facilities/,Service/location candidate,Workforce housing,Unknown,301,Not verified,Unknown,,4,59,5,23073,23110,0,1,1995,0,2023-06-21 17:05:13,2026-08-31 17:29:43,2,Unverified,C,High,Escalate for manual review,Unassigned — production origin/content unapproved,Manual quality review before any migration decision,Possible sitewide pattern; source review required; Link totals do not reconcile,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
URL-011,http://www.temporary123.com/,https://temporary123.com/,www.temporary123.com,http,/,Home,Other,Unknown,403,Not verified,Unknown,,3,90,4.6,77,75,2,1,4,0,2025-03-03 17:24:54,2026-08-18 11:43:02,4,High candidate,B,High,Preserve path pending review,Unassigned — production origin/content unapproved,Protect high-value candidate; verify source links and business relevance,Live fetch/indexability unresolved,Source URLs; Anchor text; Link context; Live canonical; Google indexation; Traffic/conversions; Business coverage; Approved target origin,Pending owner and source-level evidence
